disorderly	混乱した
antipsychotic	抗精神病薬
fanfic	二次創作
glucophage	メトホルミン
bicentennial	200年続いた|200年祭
mineralogy	鉱物学
harrier	ハリヤー犬(ウサギ狩りに用いる)|クロスカントリーレースの走者
sentient	敏感な|感覚(知覚)力のある|意識する|に気付いている
nameplate	ネームプレート|紙名|種|品|名札|銘板
bidet	(仏語)子馬|婦人用洗浄器|ヴィデ
blatantly	露骨に
gip	=gyp
impoundment	没収|留置
fleer	(〜を)嘲笑する|あざ笑う|ばかにする《+『at』+『名』》
caveman	洞窟人|穴居人
gunfire	砲火
veritable	ほんとうの|真の|本物の
moll	情婦|売春婦
subtilis	枯草菌(こそうきん)|自然界に普遍的に存在する真正細菌の一種|学名Bacillus subtilis(バチルス・サブティリス)
posterity	子孫|後世|後代
percutaneous	経皮的な
juncture	接続|連結|接合(点)|接合点|危機|転機|合わせ目|急場|(文法)連接
keenly	熱心に|鋭く
healthful	健康によい
hemodynamic	血行動態
ferocious	ひどい|恐ろしい|獰(どう)猛な|凶暴な|猛烈な|残忍な
chloroplast	葉緑体
flier	ちらし|ビラ
superoxide	スーパーオキシド|超酸化物|化学式がO2-で表されるスーパーオキシドアニオンを含む化学物質の総称|一般に活性酸素と呼ばれる
salve	慰め|救う|軟膏|心の傷を直すもの
sacrificial	犠牲的な
intrastate	州内にある
materialize	実現する
leukaemia	白血病
abnormally	異常に
religiously	宗教的に
politico	職業的政治家|政治屋
cochlear	(内耳の)蝸牛(殻)の
seaboard	海岸線
visage	顔|顔だち|容貎|容貌|顔つき
pigtail	(少女の)おさげ髪|豚の尾
atta	用法|atta boy(girl)|すごいの意!
foldable	capable of being folded up and stored; "a foldaway bed"|capable of being folded up and stored
precast	of structural members especially of concrete; cast into form before being transported to the site of installation|of structural members especially of concrete|cast into form before being transported to the site of installation
southerly	南(へ)の|南からの
westerner	西部地方の人|西部生れの人|西洋人
songbird	歌う鳥|鳴鳥
volunteerism	ボランティア活動
clamshell	二枚貝の殻|ハマグリの殻のように開形する川底さらい機
radiographic	X線撮影
micrometer	マイクロメータ
thimble	(裁縫用)指ぬき|(機)はめ輪
conservator	修復士(コンサーベイター･コンサバター )
subcellular	細胞内の
downplay	を見くびる|重要視しない|軽視する
harmonisation	調和|ハーモナイゼーション|ハーモナイゼーション
unmistakable	まちがいない|間違えようのない|疑う余地のない
rhubarb	ダイオウ|大黄(の根)|口論|物言い
milt	受精可能な|に受精させる|しらこ|魚精
prefect	長官|級長
squirm	もじもじする|身悶えする|くねりながら進む
neurotic	ノイローゼにかかった|神経(症)の
ragtime	ラグタイム1900年前後にアメリカで流行したピアノ中心の音楽|(time lagとは異なる)
sideboard	食器だな|食器戸棚
arapahoe	a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)|the Algonquian language spoken by the Arapaho
minuteman	ミニットマン|民兵
zinfandel	small black grape grown chiefly in California; transplanted from Europe|small black grape grown chiefly in California|transplanted from Europe|dry fruity red wine from California
mayoral	市長の
kinsman	血縁者|親類
lackey	追従する|下男
pinus	マツ属
bourse	(特に欧州の)株式(証券)取引所|金融市場
unassisted	単独で
insidious	陰険な|狡猾な|油断のならない
immutable	不変の|不易の
silvery	銀の(ような)|銀を含む
croton	クロトン|クロトン
nocturne	夜想曲|ノクターン|夜景画
salvo	拍手喝采|連続射撃|一斉に起こる歓呼
motivator	きっかけ
pleat	にひだをつける|ひだ|プリーツ
deflector	a device intended to turn aside the flow of something (water or air or smoke etc)
bubbly	はしゃいだ|泡の多い
aftershock	余震
attractor	ひきつける人･物
pinstripe	細かい縦縞|ピンストライプ
conga	コンガ|コンガの音楽|コンガを踊る
convolution	渦巻き|(数学)たたみ込み|(画像処理を実行するとき頻繁に用いられる計算のひとつ)
nodal	節の
beret	ベレー帽
odometer	(自動車などの)走行距離計|オドメータ
glucocorticoid	グルココルチコイド|副腎皮質ステロイドと呼ばれる化合物|代謝に影響を及ぼし|抗炎症作用|免疫抑制作用がある|天然に産生されたものはホルモンと呼ばれる
unbeaten	負けたことのない
tachometer	タコメーター|回転速度計
fortitude	勇気|不屈
aloft	上方へ
ork	orchestra|楽団
seta	剛毛|剛毛
wart	イボ|瘤(こぶ|りゅう)|木のこぶ|いやなやつ
nonpartisan	党派に属さない|党人でない|無所属の
onscreen	画面上の
staunch	揺るぎない|信頼できる|頑固な|水を通さない|止める|鎮める
enterprising	積極的な
signpost	道標|道しるべ
workwear	heavy-duty clothes for manual or physical work
divestiture	脱ぐこと|剥奪|はく奪
crag	ごつごつの岩|険しい岩山|(地学)クラッグ(イングランド東部の介砂層)
