terminator	terminate(断ち切る|終端|抹殺などの意)の名詞形|終端子|(ターミネータ)映画のタイトル
intima	(血管などの)内膜
minstrelsy	(U)吟遊詩人の芸|〈C〉吟遊詩人の歌
riposte	当意即妙の答え|(フェンシングの)突き返し
minaret	(イスラム寺院の)尖塔
loggia	ロジア(片側に壁のない柱廊)
pothole	(車などによる路面の)くぼみ
fatuous	(ひとりよがりで)愚かな|無意味な|まぬけの|頭がからっぽの|愚鈍な|ばかの|低能の
luminary	(知的)指導者|有名人|(月･太陽など)発光体
noh	能|猿楽
coppice	雑木林
extrude	(チューブから)〈歯磨きなど〉‘を'押し出す《+『名』+『from』+『名』》|〈プラスチック・金属など〉‘を'型から押し出して成形する
earldom	〈U〉伯爵の身分|〈C〉伯爵の領地
smugness	気取っていること
undersized	小型の
riverfront	リバーフロント|川沿いの散策地
vino	ブドウ酒|ワイン
sublimate	昇華させる
borate	硼酸塩|硼酸エステル
duckling	子ガモ(の肉)|アヒルの子|暗い青緑色
impalpable	手で触れない|触知(感知)できない|(差異などが)なかなか理解できない|微妙な
spoliation	強奪|略奪
farmhand	作男|農場労働者
burgher	公民|市民
horsehair	馬の毛|馬巣織(ばすおり)
premenopausal	閉経前の
totemic	トーテム信仰のcf|totem
scrappy	断片的な
anemone	アネモネ|イソギンチャク
gynecological	婦人科(病)の
pamper	飽食させる|を甘やかす|の好きなようにさせる
salivate	つば(よだれ)を出す
arrondissement	フランスの区|郡
