reword	〜‘を'言い直す|書き替える
cistron	遺伝因子|ゲン|シストロン|ジーン|遺伝子|因子
hecate	ヘカテ
bustard	野ガン
bibliotheca	a collection of books
staunchly	断固として
presbyter	(長老教会の)長老;(監督教会の)司祭;(初代教会の)世話役
auricular	耳の;聴覚の|(心臓の)心耳の
scrawny	やせた|(口)がりがりにやせこけた|骨張った
peppery	(食物が)こしょうの(ような)|こしょうのきいた|短気な|おこりっぽい
vivisection	生体解剖|生体実験(すること)|(比喩的)綿密な検査|吟味|厳しい批評
splodge	汚点
dauntless	根性のすわった|放胆|大胆|豪胆|勇敢|剛胆
eosinophil	Eosinophil granulocyte|好酸球|5種の白血球の一種|肥満細胞から出される物質によって活性化する
scuttlebutt	(ˈskʌtəlbʌt)|うわさ|ゴシップ|飲料水入れ|水飲み場|噴水式水飲み|大樽
frugality	倹約
nymphet	(10代前半の)魅力的な少女
unsurprising	予想できる
loth	=loath
undisciplined	訓練を受けてない;規律を守らない
incriminate	のせいにする|罪を負わせる
signalize	合図|相図|指示|指摘|指ししめす|示す|さし示す|指す
xenotransplantation	異物移植|異種移植
stricture	狭搾|拘束
disinvestment	the withdrawal of capital from a country or corporation
disappointingly	がっかり
nephron	ネフロン|尿細管
prejudge	前もって判断する
gielgud	ギールグッド
springy	弾力がある|泉の多い
knowle	についての知識
acrostic	アクロスティック|(数語の語頭などにある語句を折り込んだ遊戯詩･文字遊び)
lamentable	悲しむべき|悲しい
hussy	おてんば娘|いたずら娘|あばずれ女
uncountable	数えられない;無数の(numberless)|不可算名詞(おもに抽象名詞・物質名詞で不定冠詞(a|an)をそけることなく|また複数形にならない)
destitution	貧困|困窮
carbonation	(特に飲料の)炭酸ガス飽和
heliocentric	地動説the heliocentric (Copernican) system(theory) (反)geocentric theory
chromophore	発色団
squalid	むさくるしい|むさ苦しい|劣悪な
cardizem	ジルチアゼム
cytokinesis	細胞質分裂
interrogatory	疑問の
bagatelle	玉突きの一種|つまらないもの|ささいな事|小曲
nilpotent	equal to zero when raised to a certain power
nephrectomy	surgical removal of a kidney
syndic	(法人・大学などの)理事|評議員|地方行政長官|ケンブリッジ大学の特別評議員
imbibe	飲む|吸収する|摂取する|酒を飲む
semicircular	半円の|半円形の
allosteric	アロステリック効果|タンパク質の機能が他の化合物(制御物質|エフェクター)によって調節されること
trow	=believe|think　信じる　思う
preachy	説教じみた
piling	杭|ピロティ|支柱
photoemission	光電子放出
milliner	婦人帽子屋
catty	意地悪な
hypercalcemia	高カルシウム血症
seismogram	震動記象(地震計によって描かれた記録)
haulier	a haulage contractor
electrospray	電子噴霧|エレクトロスプレイ|電子スプレイ
pommel	柄頭|前輪|柄頭|ぶんなぐる|したたか殴る|打ちのめす
crake	クイナ類の鳥の総称|その鳴き声
deckchair	甲板いす
pileup	玉突き事故
duopoly	複占 
linnet	ベニヒワ(小型の鳴き鳥)
shoplifter	万引き[する人]
gaiter	ゲートル|側面が伸縮性のくるぶしまでの高さの深靴|甲が布地のオーバーシューズ
laddie	サニーボーイ|坊や|小僧|カブ|ラッド|少年|ラディー|サニー
chimaera	=chimera
ferociously	猛烈に
pistil	雌しべ
ethidium	ethidium bromide(臭化エチジウム)は有機化合物で|紫外線を当てると赤橙色の蛍光を発する
butanol	ブチルアルコール|ブタノール
unbearably	我慢できないほど
reinforcer	強化因子|強化
stretchable	伸ばす(広げる|張る)ことのできる
typecast	俳優に合わせて役を決める|役を割り振る
homophobe	a person who hates or fears homosexual people
laryngitis	喉頭(こうとう)炎
extrication	脱出|救出
understudy	代役の俳優|〈役〉‘を'代役としてけいこする|〈別の俳優〉‘の'代役を演ずる
hellion	乱暴者|無法者・乱暴者・わんぱく・いたずらっ子
hyla	the type genus of the Hylidae; tree toads|the type genus of the Hylidae|tree toads
ballyhoo	誇大宣伝|鳴り物入りで宣伝する
trabecular	小柱
enterovirus	腸内ウイルス|エンテロウイルス
judgeship	裁判官の職(地位|権限)
sigmoidoscopy	Ｓ字結腸鏡検査
unrighteousness	failure to adhere to moral principles; "forgave us our sins and cleansed us of all unrighteousness"|failure to adhere to moral principles
shrilly	金切り声で|甲高く
thunderhead	入道雲|積乱雲|発達した積雲の上部
sketchpad	=sketchbook1
aerie	(崖や山頂にある)ワシ|タカなどの巣
basilar	of or relating to or located at the base; "the basilar membrane of the cochlea"|of or relating to or located at the base
insecticidal	殺虫剤の|殺虫の
bridgehead	橋頭堡(きょうとうほ)(味方の渡河を援護する陣地)
sainthood	聖人の位
laceration	かき切り(裂き)|傷つけること|苦悩|裂傷|裂け口
hepatoma	肝細胞癌
kingly	王の(royal);王のような;王にふさわしい;威厳のある|王らしく
legionary	(古代ローマ軍の)兵士
slicker	長いゆるやかなレインコート|詐欺師|如才のない都会人
chela	(エビ・カニ類の)はさみ
pertinence	適切さ|妥当性
christening	命名式|洗礼命名式
basia	バスラ
inflexibility	曲げられないこと|不屈|不変性
akimbo	両手を腰に当て|肘を張って(with one's arms akimbo)
defecate	排便する|澄む|不純物がなくなる|排出する|精製する
revelatory	啓示的な|現す|天啓の|暴露の
jigger	ジグを踊る人・ジガー(カクテル処方の単位;1 1|2オンス);(1 1|2オンス入りの)小コップ|ウイスキーグラス・スナノミ ((ノミ［ダニ］の一種));〔話〕 代物 ((とっさに名称が思い出せない時用いる)).
hieroglyphic	象形文字(の)
cryosurgery	低温(凍結)外科療法(組織の破壊などに極度の低温を用いる療法)
scoter	クロガモ
gigahertz	ギガサイクル|gc
tensely	張り詰める|緊張する
motile	自動性の|運動性の|運動型の
unicameral	(議会が)一院(制)の
feint	見せかけ|陽動作戦|(～する)ふり|フェイント攻撃|フェイント|陽動|牽制
cerebrum	大脳|脳
pruner	トリマー
kuru	a progressive disease of the central nervous system marked by increasing lack of coordination and advancing to paralysis and death within a year of the appearance of symptoms; thought to have been transmitted by cannibalistic consumption of diseased brain tissue since the disease virtually disappeared when cannibalism was abandoned|a progressive disease of the central nervous system marked by increasing lack of coordination and advancing to paralysis and death within a year of the appearance of symptoms|thought to have been transmitted by cannibalistic consumption of diseased brain tissue since the disease virtually disappeared when cannibalism was abandoned
cartoonish	漫画っぽい
exportable	suitable for export; "exportable cultural achievements"|suitable for export
goop	べとべとしたもの|へどのでそうな食べ物|ぶしつけ(無神経･鈍感)な人
hasek	ハシェク
chesty	(特に女性が)胸の大きい|胸の底から響きわたるような
clampdown	(突然の)規制取り締まり
decamp	野営を引き払う
vocalize	声を出す|しゃべる|歌う|発音する|母音化する|言う
ghoulish	残忍な
unadorned	簡素な
achillea	any of several plants of the genus Achillea native to Europe and having small white flowers in flat-topped flower heads
arbitrariness	移り気|気まぐれ
paramedical	(看護婦・衛生兵などとして)医療の補助をする
microsurgery	顕微解剖|顕微手術(顕微鏡を見ながら組織や細胞を手術する技術)
plaint	〈C〉〈U〉不平|苦情|〈U〉《古》悲しみ|嘆き
fealty	(fíː(ə)lti)|忠誠|忠義
dendrite	樹状突起
tricuspid	(歯が)三つの先端のある|尖弁の
