consult	に助言を求める|意見を聞く|に相談する|を参考にする|を調べる
torture	を拷問にかける|苦しめる|ねじる|拷問|苦痛|歪曲
passion	激情|熱情|感情|熱中
tile	タイル|かわら|化粧タイル|牌
prospect	予想|候補者|見晴らし|観察|を調査する
advocate	弁護する|擁護する|主張する|弁護士|支持者|運動家
involvement	関わり|巻き込むこと
incorporate	を具体化する|法人組織にする|合併する|組込む|受け入れる
chest	収納箱|胸郭|金庫|たんす|肺
pursue	を追求する|追う|を続ける|実行する
shoot	を撃つ|を射る|シュート(する)
deputy	代理人|副～|代理|副|代理の
