croon	低音の歌い声|小声で唄う|口ずさむ
trefoil	シロツメグサ属の植物(小葉が3枚の植物;クローバーなど)|(石材などの)三つ葉模様
tatty	《おもに英話》うすぎたない|みすぼらしい|ぼろの
valorous	=valiant
mescaline	メスカリン(メスカルより採取した幻覚作用のある薬)
monophyletic	単一系統の
freeborn	(奴隷(どれい)としてでなく)自由の身に生まれた
consolatory	慰めの|慰問の
victual	飲食物|食料(provisions)|〈多人数〉‘に'食物を供給する|〈船など〉‘に'食糧を積み込む
candida	カンジダ菌|-症|カンジダは酵母(単細胞性菌類)の属名|出芽で増殖|カンジダ･アルビカンス(C|albicans)はカンジダ症を起こす病原体|消化管|膣粘膜に棲み|体調が悪い時日和見感染を起こす
coinfection	同時感染
dolt	まぬけ|とんま
laughingstock	笑い者|笑いぐさ
newfangled	新奇の|新式の|最新流行の
poppet	(かわいがっている)子供(動物);《呼びかけ》かわいい子ちゃん
hussar	(はでな姿の)軽騎兵
rulebook	〈C〉規則書;就業規則書|《the rulebook》(競技などの)規則集
seaworthy	航海に適する
unexpectedness	思いがけないこと|不意|意外
academician	アカデミー会員|学士院会員
crouton	(仏語)クルトン(スープに浮かす揚げパンの小片)
misidentify	を誤認する
gondolier	ゴンドラの船頭
vox	音声|言葉|声
wolverine	グズリ(イタチ科クズリ属の北米産哺乳類)
oviduct	卵管
aptness	(〜の)適性|才能《+『for』+『名』》|(〜する)傾向|性向《+『to』 do》
consonantal	子音の|子音の特徴のある
pax	(ラテン語でpeace平和)|強国の支配による平和|親睦の接吻|Pax Romana(ローマ支配による平和)|(子供の遊びで一時中断の)タイム|(子供のけんかで)仲直り
houseguest	泊まり客
funicular	ケーブルカー|鋼索鉄道|ロープによる|ロープの|索状の|珠柄の|吊り重り作用の
peristyle	(建物･庭などを取り囲む)柱列|柱列に囲まれた空間
safflower	ベニバナ (サフラワー油がとれる)
songbird	歌う鳥|鳴鳥
cw	clockwise
geeky	おかしな
spandex	(合成繊維)スパンデックス
costa	肋(ろっ)骨;肋骨状の部分
stupa	仏舎利塔|卒塔婆
banquette	バンケット|乗客席|棚|壁際の長椅子|歩道
quieten	静かになる《+『down』》|‘を'静かにさせる
untended	世話されていない|世話する者がいない|ほったらかしの
honorarium	(講演者など一定料金のない人に対する)謝礼金
smokescreen	煙幕|(一般に)隠す(ごまかす)ためのもの
weepy	お涙頂戴の|ジクジク染み出させる|涙ぐんだ|涙もろい|涙を流さんばかりの|滲出する
apologia	(行動・動機・特に信念の)正当化|弁解;弁護(弁明)論《+『for』(『of』)+『名』(do『ing』)》
bong	ボーン|鐘の音|ゴーン(と鳴る)
conciseness	簡潔さ
toxicant	毒物
ult	先月の
capitation	人頭税(各人に等しくかける税)
quondam	元の|以前の
thallium	タリウム(金属元素;化学記号はTl)
isoprene	イソプレン(主として合成ゴム製造用の揮発性液体)
dirigible	操縦できる
salle	ホール|広間|室
sublimely	卓越して|抜群に|荘厳に|すばらしく|全く|ひどく
backbreaking	骨の折れる
ejector	射出装置|放出(排出)器
roadster	ロードスター(初期のオープンカー)
catarrh	カタル(特にかぜなどで鼻・のどなどの粘膜に起こる炎症)
dressage	(馬の)調教|調馬
mycoplasma	マイコプラズマ
deadness	死の状態|生気のないこと|(色などの)さえないこと;(酒などの)気の抜けていること
lupine	ハウチワマメ(マメ科植物)|オオカミの(ような)
serried	密集［林立］した(crowded)
womanizer	女たらし|女遊びにふける男
mesmeric	催眠術の
androgenic	アンドロゲンの
doggerel	(内容もふまじめで|韻律もふぞろいな)へぼ詩
reanimate	〜‘を'再び元気づける(勇気づける)|‘に'生気を与え直す
