stapedectomy	surgical removal of the stapes of the middle ear
ingenuous	無邪気な|率直な|淡白な|純真な|あどけない
syndicalism	サンディカリズム(労働組合が生産と分配の手段を握るべきだとする理論)
coalescent	growing together, fusing; "coalescent tradititions"; "coalescent bones"|growing together, fusing
assignation	あいびきの約束|指定|割当て
worrier	悩む人|心配症の人
smutty	黒穂病にかかった|汚れた
nonplus	〜‘を'困惑させる;〜‘を'途方に暮れさせる
peridotite	カンラン岩
gudgeon	セイヨウカマツカ(釣りやすいコイ科の淡魚;釣りえ|および食用)・《英》だまされやすい人|かも
beefsteak	(ステーキ・フライ用)牛肉の切り身;(それを焼いた)ビフテキ
cocklebur	オナモミ|ゴボウ
progestogen	プロゲスチン
keratoplasty	角膜移植
triploid	3倍体(3つで1対から成る染色体のセットを持つ細胞)
falsifiable	capable of being tested (verified or falsified) by experiment or observation
womanizer	女たらし|女遊びにふける男
glassblowing	ガラス吹き;(フラスコなどの)ガラス器製造
pneumatically	圧縮空気を含んで|圧縮空気の作用で
phytotherapy	薬草療法
exploiter	(人・物などを)利用する人|搾取者;開発者
gyroscopic	ジャイロスコープ(回転儀)の
oratorical	演説の|雄弁の|雄弁家の|雄弁家ふうの
layby	曲線引き|休憩所|待避所
sacerdotal	聖職者の|司祭の;聖職制の
dorsum	背部|背|後ろ|後|背中|脊|背部
czerny	チェルニー
ontogenetic	個体発生的
crosshatch	(ペン画･製図などで)網状線(を描く|で陰影をつける)
eventuate	(〜の)結果になる|結局(〜に)なる《+『in』+『名』》
architectonic	形成性
armhole	そでぐり(そでを付けるための穴)
premolar	小臼歯|小臼歯の
remora	コバンザメ(頭上の吸盤で他の魚の腹部なとに吸着する)
courbet	クールベ
farmhand	作男|農場労働者
disembarkation	陸揚げ;上陸
bombyx	type genus of the Bombycidae: Chinese silkworm moth
intraperitoneally	腹腔内に
cladogram	a tree diagram used to illustrate phylogenetic relationships
hibachi	火鉢、小型のバーベキュー用コンロ
phytochemical	ファイトケミカル
mislay	置き忘れる
mesosphere	中間圏(地表約40から80キロメートルの所に広がっている大気層)
antidiabetic	a drug used to treat diabetes mellitus
conciseness	簡潔さ
fettuccini	フェットチーネ
cockcroft	コッククロフト
karabiner	カラビナ
rotund	丸まると太った|丸い|太った
lutheranism	ルーテル派
pickaxe	ピック
coattail	(燕尾服)上着のすそ|人のおかげで|人の助けで
bentwood	曲げ木製の
pleather	人工レザー|合皮|語源plastic and leather|polyurethane製が主
aspic	アスピック(肉・魚・野菜の煮汁から作るゼリー)
swordsmanship	剣術の腕前;剣術|剣道
hormonally	ホルモン性の
creditworthy	責任がある
blandly	(人･態度など)人当たりがよい|穏やかな|穏和な|口当たりのよい
sensually	エロ
mutability	変わりやすさ|無常|むら気|かわりやすさ
freemail	フリーメール|フリーメイル
configurational	of or relating to or characterized by configuration
imperforate	穴のあいていない|(切手に)ミシン目のない|ミシン目のない切手
mainspring	(時計などの)主ぜんまい|主因|主要動機
myelitis	脊(骨)髄炎
internecine	互いに殺し合う|共倒れの|多数の死傷者を出す|血なまぐさい
canning	キャンニング|缶詰(化)|缶詰製造|缶詰製造業|被覆
streusel	pastry with a topping of streusel|a crumbly topping for a pastry
nasogastric	鼻腔と胃の|鼻腔から胃に挿管された
mechanisation	自動化|機械化
cupful	茶わん1杯[の量]|カップ1杯の量(1|2pint=《米》0.47l|《英》0.57l)
dimorphic	二形性の|両形|2つの異なる形式で生じるまたは存在する
apophysis	(botany) a natural swelling or enlargement: at the base of the stalk or seta in certain mosses or on the cone scale of certain conifers|a natural swelling or enlargement: at the base of the stalk or seta in certain mosses or on the cone scale of certain conifers|(anatomy) a natural outgrowth or projection on an organ or body part such as the process of a vertebra|a natural outgrowth or projection on an organ or body part such as the process of a vertebra
polestar	北極星・= Polaris
oogenesis	卵形成
encyclopaedic	broad in scope or content; "encyclopedic knowledge"|broad in scope or content
dimwit	ばか|うすのろ
limited	制限された|特別
sensorial	involving or derived from the senses; "sensory experience"; "sensory channels"|involving or derived from the senses
legation	公使館|(集合的)公使館員
flowage	大水|出水|横流|越流|氾濫|洪水
leafless	having no leaves
piperacillin	ピペラシリン
chauvinistic	熱狂的(盲目的)愛国主義の|熱狂的性差別主義の
endplate	終板
gainsay	(主に否定文で)を否定する|反対する|反論する
contortion	ねじれ|ゆがみ|歪曲|こじつけ
sunstroke	日射病
iseult	イゾルデ
hypersomnia	過眠症
pedigreed	血統の正しい;由緒(ゆいしょ)のある
greenmarket	グリーンマーケット
birdseed	つぶえ(小鳥のえさ)
miscegenation	(白人と黒人の)異種族混交|雑婚
echolocation	レーダー反射法(レーダーを使って物体の位置を決定する方法)
chlorthalidone	クロルタリドン|利尿剤|高血圧や浮腫(むくみ)を制御する
ungrammatical	文法に合わない
ogee	a molding that (in section) has the shape of an S with the convex part above and the concave part below
taconite	タコナイト|角岩(鉄鉱石の一種)
genetical	of or relating to or produced by or being a gene; "genic combinations"; "genetic code"|of or relating to or produced by or being a gene|of or relating to the science of genetics; "genetic research"|of or relating to the science of genetics
gluttonous	食いしんぼうの|大食の|(〜に)どん欲な《+『of』+『名』》
ragout	ラグー(野菜と肉や魚の煮込み料理)
youthfulness	若々しさ|青年らしさ
colobus	コロブス
grandam	祖母|老婆|おばあさん
brickfield	《英》= brickyard
revalue	〜‘を'再評価する|〈通貨〉‘を'切り上げる
hypotenuse	(直角三角形の)斜辺
