facetious	冗談の|滑稽な|ひょうきんな|愉快な
declension	(名詞・代名詞・形容詞の性|数|格による)語形変化|一連の語形変化
disunity	(仲たがいによる)不統一|不一致|不和
touchline	(ラグビー・サッカーで)タッチライン
birthrate	出生率
cummerbund	カマーバンド(タキシードの下に着用する幅広の腰帯)
repast	(文語)食事|a dainty(華奢な|上品な) repast美食|馳走|饗応
obeisance	敬礼
decommission	退役させる|閉じる
majestically	荘厳に|堂々と|雄大に
shapeless	無形の|ぶかっこうな
contrite	悔恨の|罪を深く悔いている
reflexively	反射的に
beachhead	足がかり|橋頭堡
pfft	(物が消えるさまを表し)パッ|フッ|(失敗を表し)ポシャッ
daguerreotype	(昔の)銀板写真
stylebook	(服飾)スタイルブック
yokel	田舎者|いなかっぺ
badman	(特に西部開拓初期の)無法者|ならず者
claustrophobia	閉所恐怖症|密室恐怖症
projectionist	テレビ技師|映写技師
impresario	座元|興業主
moke	（英俗）ろば(donkey)
haver	くだらない話|戯言|持っている人|所有者|野生のオート麦|くだらないおしゃべりをする|ぐずぐずする|戯言を言う|躊躇する
thromboembolic	血栓塞栓性の
righteously	正しく|公正に
tactician	策士|戦術家
shush	(感)しっ|静かに
propitious	恵まれた|幸運な|(格式語)都合の良い|運の良い
sexiness	セクシーなこと|性的魅力のあること
domesticity	家事|家庭への愛着|家庭生活|家庭的なこと
inveterate	(病気･習慣)慢性の|常習的な|(感情)根深い|執念深い
soja	大豆
restructuring	構造改革|リストラ
scupper	(船腹にある)甲板排水口
absently	うっかりして|ぼんやりと
prorate	〈出費など〉‘を'比例配分する|割り当てる
incorrigible	改められない|矯正できない|救いがたい|度しがたい|手に負えない
coagulant	凝固剤
coelicolor	コエリカラー(セリカラー)|Streptomyces coelicolorで放射菌の一種の名
footfall	足音|足取り
tollbooth	有料道路料金徴収所
reproof	〈U〉しかること|非難|〈C〉叱責(しっせき)(非難)の言葉
treasonous	treasonable
choosy	好みのうるさい|気むずかしい
hobnail	(靴の底に打つ頭の大きい)びょうくぎ
unicellular	単細胞の
conspiratorial	陰謀の|陰謀好きな|共謀の
marmoset	キヌザル
credulous	だまされやすい|軽々しく信じやすい
puzzlement	当惑
fivefold	5倍の|5重の|5倍に|5重に
symbiont	共生生物
beery	ビールの|ビール好きの|ビール臭い
embalmer	(死体の)防腐処置人
slosh	うろつきまわる|はね飛ばす|(水などを)ぼちゃぼちゃする
benthos	《集合的に》水底に群生する生物(植物)
rotter	ろくでなし
drat	ちぇっ!|ちくしょう!|いまいましい!|呪う
hereupon	ここにおいて;その直後に
beneficence	善行|慈善|親切|〈C〉施し物|寄付
sailplane	セイルプレーン(上昇気流で飛ぶ軽いグライダー)
towpath	引き船道(陸から船を引っ張るための川や運河沿い道)
impregnable	堅固な|動じない|難攻不落の
lamplighter	(街灯の)点灯夫;点灯用具
etymological	語源の
remonstrance	抗議|いさめ
penmanship	習字|書道|書法|筆跡
forelimb	(四足動物の)前脚|前肢
adenoviral	アデノウイルスの
serenely	晴朗に|穏やかに|平静に
dreidel	各面にヘブライ文字が記されている四角いこま|ユダヤの祭礼 Hanukkah に dreidel を用いてする子供のゲーム
immunogenic	免疫原性の
immunocytochemical	免疫細胞化学的な
impermanence	はかなさ|一時性|永久でないこと|非永久性|無常
smallholding	《英》小自作農地(通例50エーカー以下)
vivacity	活発さ|陽気
incontrovertible	論争の余地のない|明白な
forenoon	午前
cudgel	棍棒(こんぼう)
drumstick	太鼓(ドラム)のばち|《話》(料理した)鶏(七面鳥など)の足
incisor	(ɪnsάɪzɚ)|門歯|切歯
certitude	確信
overexpose	〈フィルムなど〉‘を'露出過度にする|(太陽・寒さなどに)〜‘を'さらしすぎる
senility	(sɪníləṭi)老齢|老衰|おいぼれ|もうろく
approvingly	賛成して
artless	自然のままの|ありのままの|素朴な
astroturf	人工芝
condescend	卑下する|愛想よくする|恩にきせる
