ankylose	produce ankylosis by surgery|undergo ankylosis; "joints ankylose"|undergo ankylosis
serovar	血液型亜型
procrastinator	someone who postpones work (especially out of laziness or habitual carelessness)
broadsheet	一枚刷|新聞用フルサイズ紙
conjoint	結合した|共同の|連帯の
showman	興行師
echt	not fake or counterfeit; "a genuine Picasso"; "genuine leather"|not fake or counterfeit
ramjet	ラムジェット(航空機のジェットエンジンの一種)
inexcusable	言い訳のたたない|許し難い|けしからん|言語道断
muttering	うなり声
provable	証明できる
heterocyclic	複素環式化合物
recalcitrant	強情張り|反抗的な
thoughtfulness	思慮深さ
harshness	厳しさ
anabaptist	アナバプテスト
yellowfin	キハダ|黄肌
spyglass	小望遠鏡
sterilisation	断種|消毒|殺菌
crossway	=crossroad
foodstuff	食料品
gluttony	暴飲暴食
truant	怠ける|怠け者|無断欠席者|無断欠席する学生
exfoliate	剥離
crackpot	狂人
decelerate	減速する
tiramisu	ティラミス(イタリア語)
utiliser	someone who puts to good use; "not all organisms are utilizers of oxygen"; "the social agencies and their utilizers both objected to the budget cut"|someone who puts to good use
markoff	マルコフ
prostatitis	前立腺炎
commercialism	コマーシャリズム|商業主義|商慣習
alstroemeria	アルストロメリア属
sandbar	(河口・湾口の潮によってできた)州|砂州(さす)
unpatriotic	愛国心のない
impute	不名誉なことをに帰す|負わせる|不名誉なことを～に帰する|のせいにする
bandstand	野外ステージ
anionic	a class of synthetic detergents in which the molecules do not ionize in aqueous solutions|of or relating to anions
digestibility	こなれやすいこと|消化能力|消化のよしあし
archaea	古細菌(単数形はarchaeon)
compleat	=complete
consumptive	消費の;消耗させる|破壊的な;(〜を)消費する《+『of』+『名』》|《古》肺結核の|肺病患者
melancholic	憂うつな|憂鬱な
cathartic	カタルシスの|下剤の
noisily	やかましく
corticotropin	副腎皮質刺激ホルモン
denaturation	変性
unaccountable	説明できない|謎の|責任を負わない
compositor	合成器|植字工
reminiscence	追憶|記憶|思い出|思い出させるもの|回想すること
brama	type genus of the Bramidae
descendent	下降の|伝来の|子孫(=offspring)
fetishism	呪物(じゅぶつ)崇拝|物神(ものがみ)崇拝|(事物に対する)盲目的崇拝(関心)
bellwether	先導者|主導者
junto	(持に政治的目的を持つ)徒党|秘密結社
punky	minute two-winged insect that sucks the blood of mammals and birds and other insects
genealogist	系図学者|系譜専門家
chromate	クロム酸塩
inferential	推理の
metalloproteinase	メタロプロテイナーゼ|タンパク質分解酵素
prerecord	〈番組の〉‘の'録画(録音)をとる
razzle	any exciting and complex play intended to confuse (dazzle) the opponent
insolent	横柄な|ごう慢|無礼な;(〜に対して)横柄な《+『to』+『名』》
plexiglass	プレキシガラス(プラスチックガラス)
neuropathic	神経病の
homemaking	家庭管理|家庭
lectureship	大学の講師の職(地位)
newsman	ニュース番組のレポーター|取材記者
finis	終[り](本・映画などの最終にしるす語)
comprehensiveness	包括的なこと|考えの幅|知識の広範さ|視野の広さ
reclusive	孤独好きの|わびしい|寂しい
beastly	獣のような
psst	(ps)|あのね|ちょっと|ねえ|(目立たないように人の注意を引く時の発声)|遺伝子名
letdown	減少|(気の)ゆるみ|失望|(空)(着陸前の)下降
nonesuch	無比の人(もの)|逸材(品)
foment	(不和･反乱など)を助長する|扇動する|に湿布する|醸成する|(患部)を蒸す
legibility	(文字が)読みやすいこと
guinevere	(Arthurian legend) wife of King Arthur; in some versions of the legend she became Lancelot's lover and that led to the end of the Knights of the Round Table|wife of King Arthur|in some versions of the legend she became Lancelot's lover and that led to the end of the Knights of the Round Table
cyclopedia	百科|百科辞書|百科全書|エンサイクロペディア|百科事典|百科辞典
summerhouse	あずま屋
arcanum	シークレット|内密|奥義|秘か|内聞|内証|秘決|秘訣|奥許し|隠し事
schooler	就学児童
switchback	スイッチバック(急勾配をジグザグに上る線路)・ジグザグの山道・ジェットコースター（roller coaster）・(一般に)変換|変更
tardiness	緩慢;遅刻
ruminate	反すうする
birdsong	鳥の鳴き声|囀り|鳴き声|さえずり
ammonite	アンモン貝|アンモナイト
leggy	足のひょろ長い|足の長い
liken	たとえる|なぞらえる
solanum	ナス
kahlua	カルーア
incredulous	なかなか信じない|容易に信じない|懐疑的な|疑わしそうな
kaolin	白土|高陵土|陶土
governess	(住み込みの)婦人の家庭教師
predilection	ひいき|偏好
demille	セシル・b・デミル
uncooperative	非協力的な
stiffen	堅くする|をこわばらせる|固くなる|強ばる
devastate	荒廃させる
adroit	巧妙な|器用な|機敏な|気転のきく|抜け目のない
perfuse	(医)灌流する(臓器や組織に液体を流すこと)|灌流適用する
oxygenase	酸素添加酵素
