burg	(独語他に由来)|市|町|(地名接尾辞の一種|単語のあとにつけ場所を表す)
obtainable	獲得可能な
carcinogenic	発癌性の
reformer	改質装置
epidural	硬膜外麻酔
solemnly	厳粛に|まじめに
brasserie	ビールと食事の店|ビヤホール|醸造所
liberally	気前よく|豊富に|寛大に
exorcist	悪魔払い師
wattage	ワット量
timescale	タイムスケール
concentric	同心の|同軸の
unwarranted	保証されていない
terminally	末端
untouchable	触れてはならない|ヒンズー教のカースト制度の最下層民
kale	ケール|緑葉カンラン|ハゴロモカンラン|(米俗) 金(かね)
monastic	修道院(僧)の|禁欲的な|隠遁的な
permeable	浸透できる
bate	減らす|弱める|取り去る|鈍らせる|激怒する|逃げようとする
napalm	ナパーム弾(Napalm bomb)|主燃焼材のナフサにナパーム剤と呼ばれる増粘剤を添加した油脂焼夷弾|米軍が開発|極高温(900-1|300度)で燃焼し|広範囲を焼尽する
biweekly	隔週の|週2回の
adoration	敬愛|あこがれ|礼拝
amity	親善(関係)|友好|親睦|友交
cusp	イバラ|とがった先|カスプ|心臓弁膜尖|尖頭
shortness	短いこと
vanquish	を征服する|を克服する|勝つ
martingale	むながい(馬の頭を安定する馬具)・（船）第2斜檣(しゃしょう)を固定する支索
seashell	貝|貝殻
insurrection	暴動|反乱
abomination	嫌悪|憎悪
predominate	一世を風びする|支配する|優勢である|卓越する
dolomite	ドロマイト|苦灰石(くかいせき)|炭酸塩鉱物の一種|別称白雲石
paraphernalia	妻の所有品|道具一式
heretofore	これまで|以前は
skimpy	乏しい
aldehyde	アルデヒド|カルボニル炭素に水素原子が一つ置換した構造を持つ有機化合物|一般式はR-CHOで表される
speedup	速力増加|生産能率の促進
scapegoat	身代り
masterful	横柄な|巧妙な
defrost	解凍する
insoluble	水に不溶性・難溶性の|問題が解けない
sepsis	敗血症
yearn	あこがれる|恋しく思う|切望する|同情する
postnatal	生後
repressive	鎮圧の|抑圧的な
ballpoint	ボールペン
headgear	ヘッドギアー|かぶりもの
ducky	かわいい|すてきな|素晴らしい
cleaver	包丁|肉切り包丁
willfully	故意に
divisor	除数
podiatry	足病学(足の病気の研究)
truffle	トリュフ|フランスしょうろの類の植物
meteorologist	気象学者
stupendous	途方もない|巨大な|並外れた
acumen	鋭さ|眼識|明敏|鋭い洞察力
hallo	もしもし|ハロー(Hello)
abo	《オーストラリア英語》《俗・禁句》原住民(aborigine)
skylark	ヒバリ|ばか騒ぎする
gauche	いたらない|未熟な|気のきかない|不器用な|洗練されない|無骨な|粗雑な
prowl	うろつく
chlorinate	(特に殺菌のために)〜'を'塩素で処理する
upbringing	養育|育て方|躾(しつけ)
widower	男やもめ
zonal	帯の;地域(地区)に分けられた
unsustainable	支持できない
interdependent	互いに依存する
maw	胃(stomach)|(鳥の)そ嚢
civics	公民学|公民科;市政学|市政論
unanticipated	予期せぬ
nuance	(仏語)ニュアンス(微妙な差違|陰影|色合い)
rowdy	騒々しい|乱暴な
pretrial	公判前手続き
bodega	ワイン貯蔵室(庫)|ワインショップ|バー|(スペイン語系米人の)食料雑貨店
