thinly	まばらに|やせて|希薄に|細く|弱く|薄く|トラック競技の選手|ランナー
albatross	執拗な心配のもと|アホウドリ(航海中にこの鳥が飛ぶと嵐の前兆とされた)|アルバトロス(parより3打少ない|ゴルフ用語)
intrinsically	本質的に
impervious	(物を)通さない|不浸透性の|傷つかない|不透水性|不通気性
motorist	自動車を乗り回す人|運転手|オーナードライバー
peritoneal	腹膜の
lor	ああ!|あら!
freebie	ただでもらえるもの
histamine	ヒスタミン(たんぱく質が分解し生じるアミノ酸の一種|たまるとアレルギーを起こす)
desist	思いとどまる|やめる|断念する
stiletto	小剣|短剣
algorithmic	アルゴリズムの|演算方法(方式)の|算法の
reproach	の体面を傷つける|叱る|非難(する)|を責める|叱責|恥辱|不面目|非難の的
loam	ローム層(植物の育成に適した柔らかい土壌)
denominational	(特定の)宗派の|数派の
moa	モア|ニュージーランドに生息していた鳥類
otolaryngology	耳鼻咽喉(いんこう)科(学)
lineman	電話線作業員
ghostly	幽霊の
hippocampus	(脳)海馬(かいば)状隆起
delineation	描写|輪郭描写
kneel	跪く(ひざまずく)|膝を曲げる|膝を曲げること
vellum	ベラム|上質皮紙|模造皮紙
wreak	漏らす|をぶちまける|(復讐)をする
bitterly	ひどく|はなはだしく|冷酷に
provocation	怒らすこと|刺激|怒らせること|挑発|怒り|立腹|興奮
actionable	実用的な
cleverly	うまいこと|器用に
misunderstanding	考え違い|誤解|不和|勘違い
piety	敬虔(な行為)|敬愛|お祈り
holler	(米)叫ぶ|大声で言う|(ブルースの原型と言われるフィールドハラー(field-holler|19世紀の黒人の労働歌)にその意味が残る)
equalize	等しくする|平等化する
numerology	(誕生日の数字などによる)数占い;数秘学
manta	イトマキエイ|マンタ
sisterhood	姉妹関係
tamoxifen	タモキシフェン|非ステロイド性抗がん剤の一種
chemise	シュミーズ(婦人の肌着)
cordon	飾りひも|綬章(じゆしよう)|非常線|交通遮断線
thoughtfully	考えぶかく
slingshot	Y 形の棒にゴムひもをつけ|小石などを飛ばすパチンコ
lotta	lot of(口語)
puffin	ツノメドリ(はでなしま模様で三角の口ばしを持つ海鳥)
ingress	〈U〉入ること|入場;入場の権利|〈C〉入り口
motility	運動性
dengue	デング熱(ウイルス)
incineration	(不必要な物の)焼却
organza	オーガンザ(薄いレーヨン・ナイロン・絹の平織物)
unbreakable	壊れない
nave	(キリスト教会の)身廊|本堂入口から主祭壇に向かう中央通路のうちの翼廊に至るまでの部分
materialism	唯物論|物質主義
eternally	永遠に
senseless	意識を失った|無分別な|無意味な
rabid	激しい|過激な|凶暴な
bloat	ふくれさせる|ふくれる|慢心する
cumin	ヒメウイキョウ|クミン(植物名)
pox	水痘|(通例複合語で)発疹ができる病気|かさ|梅毒(syphilis)|(間投詞的)ちくしょう|いまいましい
revaluation	通貨の切上げ
carnivore	肉食動物|食虫植物|食肉動物
unwritten	不文|不文の
totalitarian	全体主義の|一国一党主義の|全体主義者
cymbal	シンバル
conundrum	地口(じぐち|語呂や発音が似た言葉を言ってしゃれ|駄洒落を言うこと)|難問|謎の人(もの)
agrarian	土地の|農業の|農地の|野生の|農民の|農村生活の
